date_mutation,commune,type_local,surface_reelle_bati,valeur_fonciere,prix_m2
09/01/2023,TOULON,Appartement,68.0,179000.0,2632.35
12/01/2023,TOULON,Appartement,59.0,288200.0,4884.75
11/01/2023,TOULON,Maison,60.0,273200.0,4553.33
12/01/2023,TOULON,Appartement,45.0,53200.0,1182.22
19/01/2023,TOULON,Appartement,149.0,255000.0,1711.41
12/01/2023,TOULON,Appartement,40.0,54000.0,1350.0
12/01/2023,TOULON,Appartement,70.0,88800.0,1268.57
09/01/2023,TOULON,Appartement,56.0,135000.0,2410.71
13/01/2023,TOULON,Maison,77.0,311000.0,4038.96
16/01/2023,TOULON,Appartement,31.0,170000.0,5483.87
16/01/2023,TOULON,Appartement,46.0,170000.0,3695.65
06/01/2023,TOULON,Appartement,54.0,73000.0,1351.85
12/01/2023,TOULON,Appartement,63.0,142000.0,2253.97
11/01/2023,TOULON,Appartement,87.0,215000.0,2471.26
06/01/2023,TOULON,Appartement,50.0,90000.0,1800.0
19/01/2023,TOULON,Appartement,62.0,110000.0,1774.19
19/01/2023,TOULON,Appartement,67.0,110000.0,1641.79
19/01/2023,TOULON,Appartement,85.0,293700.0,3455.29
06/01/2023,TOULON,Appartement,46.0,105080.0,2284.35
04/01/2023,TOULON,Appartement,74.0,346200.0,4678.38
13/01/2023,TOULON,Appartement,68.0,203000.0,2985.29
19/01/2023,TOULON,Maison,104.0,595814.0,5728.98
17/01/2023,TOULON,Appartement,50.0,107000.0,2140.0
13/01/2023,TOULON,Appartement,135.0,743760.0,5509.33
06/01/2023,TOULON,Appartement,43.0,119000.0,2767.44
20/01/2023,TOULON,Appartement,61.0,157000.0,2573.77
24/01/2023,TOULON,Maison,192.0,1010000.0,5260.42
10/01/2023,TOULON,Appartement,68.0,197500.0,2904.41
11/01/2023,TOULON,Appartement,60.0,216100.0,3601.67
23/01/2023,TOULON,Appartement,58.0,162100.0,2794.83
05/01/2023,TOULON,Appartement,42.0,77000.0,1833.33
19/01/2023,TOULON,Maison,109.0,556350.0,5104.13
19/01/2023,TOULON,Appartement,23.0,331000.0,14391.3
19/01/2023,TOULON,Appartement,65.0,331000.0,5092.31
23/01/2023,TOULON,Appartement,67.0,90000.0,1343.28
24/01/2023,TOULON,Appartement,35.0,110000.0,3142.86
23/01/2023,TOULON,Appartement,31.0,98500.0,3177.42
16/01/2023,TOULON,Appartement,77.0,198000.0,2571.43
16/01/2023,TOULON,Appartement,80.0,292000.0,3650.0
17/01/2023,TOULON,Appartement,66.0,123870.0,1876.82
20/01/2023,TOULON,Appartement,84.0,272850.0,3248.21
20/01/2023,TOULON,Appartement,67.0,99000.0,1477.61
20/01/2023,TOULON,Appartement,64.0,139000.0,2171.88
24/01/2023,TOULON,Appartement,42.0,128000.0,3047.62
25/01/2023,TOULON,Appartement,19.0,73000.0,3842.11
17/01/2023,TOULON,Appartement,78.0,197500.0,2532.05
20/01/2023,TOULON,Appartement,55.0,370000.0,6727.27
03/01/2023,TOULON,Appartement,54.0,173000.0,3203.7
19/01/2023,TOULON,Appartement,20.0,65000.0,3250.0
10/01/2023,TOULON,Appartement,25.0,80000.0,3200.0
09/01/2023,TOULON,Appartement,94.0,264000.0,2808.51
13/01/2023,TOULON,Appartement,59.0,275000.0,4661.02
16/01/2023,TOULON,Appartement,81.0,215000.0,2654.32
03/01/2023,TOULON,Maison,123.0,535000.0,4349.59
17/01/2023,TOULON,Appartement,59.0,148000.0,2508.47
20/01/2023,TOULON,Appartement,48.0,490000.0,10208.33
20/01/2023,TOULON,Appartement,40.0,490000.0,12250.0
16/01/2023,TOULON,Appartement,37.0,145000.0,3918.92
17/01/2023,TOULON,Appartement,53.0,105000.0,1981.13
27/01/2023,TOULON,Maison,165.0,916500.0,5554.55
27/01/2023,TOULON,Maison,165.0,916500.0,5554.55
06/01/2023,TOULON,Appartement,69.0,95000.0,1376.81
04/01/2023,TOULON,Appartement,26.0,69940.0,2690.0
05/01/2023,TOULON,Appartement,19.0,71000.0,3736.84
18/01/2023,TOULON,Appartement,62.0,147000.0,2370.97
27/01/2023,TOULON,Appartement,50.0,119630.0,2392.6
30/01/2023,TOULON,Appartement,52.0,209000.0,4019.23
13/01/2023,TOULON,Appartement,55.0,129000.0,2345.45
13/01/2023,TOULON,Appartement,20.0,129000.0,6450.0
11/01/2023,TOULON,Appartement,54.0,147000.0,2722.22
11/01/2023,TOULON,Maison,65.0,341101.0,5247.71
20/01/2023,TOULON,Appartement,38.0,142400.0,3747.37
19/01/2023,TOULON,Appartement,60.0,192000.0,3200.0
03/01/2023,TOULON,Appartement,42.0,85000.0,2023.81
19/01/2023,TOULON,Appartement,76.0,223500.0,2940.79
10/01/2023,TOULON,Appartement,43.0,145000.0,3372.09
09/01/2023,TOULON,Appartement,55.0,174900.0,3180.0
13/01/2023,TOULON,Appartement,90.0,240000.0,2666.67
19/01/2023,TOULON,Maison,74.0,290000.0,3918.92
20/01/2023,TOULON,Appartement,28.0,97500.0,3482.14
25/01/2023,TOULON,Appartement,49.0,366800.0,7485.71
25/01/2023,TOULON,Maison,56.0,322750.0,5763.39
06/01/2023,TOULON,Appartement,68.0,195000.0,2867.65
20/01/2023,TOULON,Appartement,16.0,80000.0,5000.0
20/01/2023,TOULON,Appartement,25.0,80000.0,3200.0
16/01/2023,TOULON,Appartement,75.0,255800.0,3410.67
05/01/2023,TOULON,Appartement,72.0,155000.0,2152.78
30/01/2023,TOULON,Appartement,82.0,450000.0,5487.8
30/01/2023,TOULON,Appartement,68.0,300000.0,4411.76
20/01/2023,TOULON,Appartement,40.0,172000.0,4300.0
23/01/2023,TOULON,Maison,85.0,500700.0,5890.59
03/01/2023,TOULON,Maison,143.0,375000.0,2622.38
24/01/2023,TOULON,Appartement,55.0,102500.0,1863.64
11/01/2023,TOULON,Appartement,28.0,93500.0,3339.29
23/01/2023,TOULON,Appartement,41.0,152050.0,3708.54
23/01/2023,TOULON,Maison,31.0,177000.0,5709.68
26/01/2023,TOULON,Appartement,82.0,225000.0,2743.9
31/01/2023,TOULON,Appartement,72.0,170000.0,2361.11
12/01/2023,TOULON,Appartement,75.0,326100.0,4348.0
13/01/2023,TOULON,Appartement,83.0,304000.0,3662.65
27/01/2023,TOULON,Appartement,24.0,395000.0,16458.33
27/01/2023,TOULON,Appartement,26.0,395000.0,15192.31
18/01/2023,TOULON,Appartement,49.0,142000.0,2897.96
25/01/2023,TOULON,Appartement,80.0,160000.0,2000.0
02/02/2023,TOULON,Appartement,20.0,35500.0,1775.0
02/02/2023,TOULON,Appartement,20.0,35500.0,1775.0
25/01/2023,TOULON,Appartement,29.0,72200.0,2489.66
24/01/2023,TOULON,Appartement,106.0,234000.0,2207.55
31/01/2023,TOULON,Appartement,69.0,290000.0,4202.9
18/01/2023,TOULON,Appartement,29.0,68500.0,2362.07
18/01/2023,TOULON,Appartement,46.0,150000.0,3260.87
24/01/2023,TOULON,Appartement,48.0,143000.0,2979.17
30/01/2023,TOULON,Appartement,80.0,213000.0,2662.5
17/01/2023,TOULON,Appartement,81.0,86000.0,1061.73
25/01/2023,TOULON,Maison,75.0,372265.0,4963.53
26/01/2023,TOULON,Appartement,83.0,177000.0,2132.53
26/01/2023,TOULON,Appartement,20.0,68000.0,3400.0
27/01/2023,TOULON,Appartement,69.0,285000.0,4130.43
10/01/2023,TOULON,Maison,80.0,355000.0,4437.5
23/01/2023,TOULON,Appartement,54.0,118350.0,2191.67
24/01/2023,TOULON,Appartement,68.0,135000.0,1985.29
27/01/2023,TOULON,Maison,86.0,565000.0,6569.77
26/01/2023,TOULON,Appartement,36.0,60000.0,1666.67
31/01/2023,TOULON,Appartement,60.0,93000.0,1550.0
12/01/2023,TOULON,Appartement,93.0,500000.0,5376.34
30/01/2023,TOULON,Maison,51.0,450000.0,8823.53
25/01/2023,TOULON,Appartement,51.0,115000.0,2254.9
26/01/2023,TOULON,Appartement,53.0,120000.0,2264.15
